ID,LOCATION,ADDRESS,LAT,LONG
P328547,ROUTE 9 BP,2038 New Castle Ave New Castle DE 19720,39.6911416,-75.5556678
83730623,Super G Enterprises,2044 New Castle Ave New Castle DE 19720,39.6917415,-75.5565092
83730374,Tobacco Outlet,2070 New Castle Ave New Castle DE 19720,39.6928585,-75.5546822
83730757,General Store Inc,20750 John J Williams Hwy Lewes DE 19958,38.7001079,-75.1699513
83730733,The Grog Shop,20750 John J Williams Hwy Lewes DE 19958,38.7001079,-75.1699513
P328523,PHILS DELI And MARKET,2079 NJ-70 Cherry Hill NJ 08003,39.8962142,-74.9495098
83730425,Park Place Jewelers,209 Atlantic Ave Ste 123 Ocean City MD 21842,38.3338912,-75.0838462
83730356,Pep Up #14,209 Hayward Street Cambridge MD 21613,38.5697195,-76.0711901
,Devon Banking Office,209 W. Lancaster Avenue Devon PA 19333,40.0454387,-75.4242521
P328603,WELLAID PHARMACY,21 Cobbs Creek Pkwy Philadelphia PA 19139,39.9616716,-75.2465406
,Chester Springs Banking Office,210 Font Road Downingtown PA 19335,40.0958639,-75.6954636
,Fox Run Banking Office,210 Fox Hunt Drive Bear DE 19701,39.6079633,-75.7124113
P328609,ALOHA OCEANFRONT MOTEL,210 John F Kennedy Beach DrA North Wildwood NJ 08260,39.0016352,-74.7874211
P328367,BLITZS OCEAN CITY 21ST,2100 Asbury Ave Ocean City NJ 08226,39.2662602,-74.5939929
83730463,DMV - Delaware City,2101 Mid County Dr Delaware City DE 19720,39.5767042,-75.6595232
83730514,Heritages #17,211 Hessian Avenue Colonial Manor NJ 08096,39.8561235,-75.1498409
,Union Street Banking Office,211 North Union Street Wilmington DE 19805,39.7485684,-75.5737464
P422229,GARDEN TRUCK STOP,2114 W Garden Rd Vineland NJ 08360,39.5231959,-75.0630729
N1080673,Walgreen's - Fairfax Shopping Center #11006,2119 Concord Pike Wilmington DE 19803,39.790357,-75.5454109
83730751,Hockessin Books and Tobacco,212 Lantana Dr Hockessin DE 19707,39.7744239,-75.7090261
N1080677,Walgreen's - Elsmere #11029,2121 Kirkwood Highway Wilmington DE 19805,39.7386429,-75.6105564
83730730,Chesapeake Bay Maritime Museum,213 N Talbot St St Michaels MD 21663,38.788942,-76.2213397
P318908,BJs - Elsmere DE #354,2131 Kirkwood Highway Wilmington DE 19805,39.7394146,-75.61042
N1080714,Walgreen's - Rockhall Park Center #11064,21400 Zeeman Road Rockhall MD 21661,39.1381658,-76.2349537
